Pos,artist,title,Total,country
10,Lukas Graham ,7 Years,47546299,SWE
1,Ed Sheeran ,Shape of You,12879304,CHE
2,Luis Fonsi ,Despacito (Featuring Daddy Yankee),7610208,CHE
3,Drake ,One Dance,7555090,CHE
4,Post Malone ,rockstar,7521612,CHE
5,French Montana ,Unforgettable,7090460,CHE
6,Lo & Leduc ,079,6720455,CHE
7,Axwell /\ Ingrosso ,More Than You Know,6531512,CHE
8,Camila Cabello ,Havana,6511791,CHE
9,Alan Walker ,Faded,6504010,CHE
10,Major Lazer ,Lean On,6286600,CHE
1,Ed Sheeran ,Shape of You,10447235,TWN
2,The Chainsmokers ,Something Just Like This,10306915,TWN
3,The Chainsmokers ,Closer,9179364,TWN
4,JJ Lin ,不為誰而作的歌,8299512,TWN
5,Alan Walker ,Faded,7956910,TWN
6,Joker Xue ,演員,7729282,TWN
7,Ed Sheeran ,Photograph,7341981,TWN
8,Crowd Lu ,魚仔 ,6740668,TWN
9,Eric Chou ,以後別做朋友,6666242,TWN
10,Eric Chou ,你,好不好? ,6591691,TWN
1,Pop Pongkool ,ภาพจำ,2864200,THA
2,Atom Chanakan ,Good Morning Teacher,2802445,THA
3,Camila Cabello ,Havana,2351268,THA
4,Fukking Hero ,นอนได้แล้ว,2286814,THA
5,Lipta ,หมอกร้าย,2263346,THA
6,Earth Patravee ,ถ้าฉันหายไป(Skyline),2091024,THA
7,O-Pavee,คนที่ไม่ใช่,2067948,THA
8,Room 39 ,บอกตัวเอง,2006454,THA
9,Ed Sheeran ,Perfect,1949819,THA
10,The Toys ,04:00,1925875,THA
1,Ed Sheeran ,Shape of You,23666743,TUR
2,Ezhel ,Geceler,23012819,TUR
3,Gazapizm ,Heyecanı Yok,16933231,TUR
4,Ezhel ,İmkansızım,16328176,TUR
5,Dua Lipa ,New Rules,16260043,TUR
6,Imagine Dragons ,Believer,15241034,TUR
7,Post Malone ,rockstar,15126856,TUR
8,LP ,Lost on You,15035732,TUR
9,The Weeknd ,Starboy,14960717,TUR
10,Ezhel ,Şehrimin Tadı,14646393,TUR
1,Danny Ocean ,Me Rehúso,4001399,URY
2,Luis Fonsi ,Despacito (Featuring Daddy Yankee),3879164,URY
3,Ed Sheeran ,Shape of You,3598621,URY
4,Zion & Lennox ,Otra Vez,3486394,URY
5,Natti Natasha ,Criminal,3483146,URY
6,CNCO ,Reggaetón Lento (Bailemos),3319198,URY
7,Maluma ,Felices los 4,3244680,URY
8,Wisin ,Escápate Conmigo,2994677,URY
9,Becky G ,Mayores,2819571,URY
10,Ozuna ,Se Preparó,2732855,URY
1,My Tam ,Nguoi Hay Quen Em DI,1040540,VNM
2,BTS ,FAKE LOVE,897615,VNM
3,Bich Phuong ,Bùa Yêu,81638,VNM
4,Zedd ,The Middle,627347,VNM
5,My Tam ,Muon Mang La Tu Luc,625448,VNM
6,Min ,Em mới là người yêu anh,617943,VNM
7,Marshmello ,FRIENDS,605402,VNM
8,My Tam ,Dau Chi Rieng Em,598402,VNM
9,Camila Cabello ,Havana,597104,VNM
10,Alan Walker ,All Falls Down,588147,VNM
