Pos,artist,title,Total,country
3,Capo Plaza ,Tesla,50217053,ITA
4,Coez ,La musica non c'è,49864214,ITA
5,Sfera Ebbasta ,Rockstar,40440340,ITA
6,Sfera Ebbasta ,Sciroppo,39675550,ITA
7,Gemitaiz ,Davide,39141981,ITA
8,Irama ,Nera,37959085,ITA
9,J-AX,Italiana,37497843,ITA
10,Sfera Ebbasta ,Tran Tran,37154271,ITA
1,Ed Sheeran ,Shape of You,9135277,JPN
2,DAOKO×米津玄師 ,打上花火,8722683,JPN
3,Shota Shimizu ,My Boo,6283033,JPN
4,ONE OK ROCK ,Wherever you are,6219305,JPN
5,AAA ,恋音と雨空,5813637,JPN
6,Superfly ,愛をこめて花束を,5738650,JPN
7,[Alexandros] ,ワタリドリ,5349379,JPN
8,Zedd ,Stay,5182842,JPN
9,Camila Cabello ,Havana,5158031,JPN
10,MONGOL800 ,小さな恋のうた,5096162,JPN
1,Post Malone ,rockstar,1261019,LVA
2,Ed Sheeran ,Shape of You,1195079,LVA
3,Major Lazer ,Lean On,947413,LVA
4,Kendrick Lamar ,HUMBLE.,921062,LVA
5,Imagine Dragons ,Thunder,892887,LVA
6,Drake ,One Dance,848831,LVA
7,Vance Joy ,Riptide,797879,LVA
8,Lil Uzi Vert ,XO TOUR Llif3,785635,LVA
9,Imagine Dragons ,Believer,774345,LVA
10,French Montana ,Unforgettable,748084,LVA
1,Ed Sheeran ,Shape of You,1229721,LTU
2,Drake ,One Dance,994773,LTU
3,Post Malone ,rockstar,965194,LTU
4,Major Lazer ,Lean On,847439,LTU
5,Mike Posner ,I Took A Pill In Ibiza ,784738,LTU
6,Imagine Dragons ,Thunder,774016,LTU
7,Robin Schulz ,Sugar,758469,LTU
8,Hozier ,Take Me To Church,727524,LTU
9,Camila Cabello ,Havana,72225,LTU
10,Dua Lipa ,New Rules,71868,LTU
1,Ed Sheeran ,Shape of You,903264,LUX
2,Post Malone ,rockstar,636327,LUX
3,Drake ,One Dance,547628,LUX
4,French Montana ,Unforgettable,528819,LUX
5,Camila Cabello ,Havana,480054,LUX
6,Luis Fonsi ,Despacito (Featuring Daddy Yankee),471772,LUX
7,Drake ,God's Plan,452061,LUX
8,The Chainsmokers ,Something Just Like This,432003,LUX
9,Imagine Dragons ,Thunder,410979,LUX
10,Axwell /\ Ingrosso ,More Than You Know,40365,LUX
1,Ed Sheeran ,Shape of You,14660858,MYS
2,The Chainsmokers ,Closer,13376143,MYS
3,James Arthur ,Say You Won't Let Go,12914054,MYS
4,Ed Sheeran ,Photograph,12215085,MYS
5,Ed Sheeran ,Perfect,11928290,MYS
6,Alan Walker ,Faded,11799267,MYS
7,The Chainsmokers ,Something Just Like This,10738864,MYS
8,Camila Cabello ,Havana,9838485,MYS
9,Luis Fonsi ,Despacito ,9578131,MYS
10,Justin Bieber ,Love Yourself,9491488,MYS
1,Ed Sheeran ,Shape of You,993818,MLT
2,Post Malone ,rockstar,663666,MLT
3,The Chainsmokers ,Something Just Like This,606774,MLT
4,Drake ,One Dance,596829,MLT
5,Camila Cabello ,Havana,577759,MLT
6,Luis Fonsi ,Despacito ,565334,MLT
7,The Chainsmokers ,Closer,557713,MLT
8,Dua Lipa ,New Rules,556686,MLT
9,The Weeknd ,Starboy,516326,MLT
10,Mike Posner ,I Took A Pill In Ibiza ,510779,MLT
1,Danny Ocean ,Me Rehúso,176461573,MEX
2,Maluma ,Felices los 4,126210909,MEX
3,Zion & Lennox ,Otra Vez,122549858,MEX
4,Ed Sheeran ,Shape of You,116201164,MEX
5,Luis Fonsi ,Despacito (Featuring Daddy Yankee),110514760,MEX
6,Wisin ,Escápate Conmigo,107926811,MEX
7,Manuel Turizo ,Una Lady Como Tú,107003258,MEX
8,Piso 21 ,Déjala Que Vuelva,106145804,MEX
9,Maluma ,Borro Cassette,106109643,MEX
10,Wolfine ,Bella,97215484,MEX
1,Ed Sheeran ,Shape of You,68544234,NLD
2,Drake ,One Dance,46515231,NLD
3,Lil' Kleine ,Krantenwijk,45842828,NLD
4,James Arthur ,Say You Won't Let Go,40906588,NLD
5,Dua Lipa ,New Rules,36046682,NLD
6,Camila Cabello ,Havana,35846002,NLD
7,Broederliefde ,Jungle,34919056,NLD
8,Justin Bieber ,Love Yourself,34674646,NLD
9,Ed Sheeran ,Thinking Out Loud,34576925,NLD
10,Post Malone ,rockstar,33953717,NLD
1,Ed Sheeran ,Shape of You,17442454,NZL
2,The Chainsmokers ,Closer,13427523,NZL
3,Drake ,One Dance,13394330,NZL
4,Post Malone ,rockstar,12700691,NZL
5,Ed Sheeran ,Thinking Out Loud,12641167,NZL
6,Kendrick Lamar ,HUMBLE.,11267804,NZL
7,Justin Bieber ,Sorry,10985143,NZL
8,James Arthur ,Say You Won't Let Go,10963302,NZL
9,Post Malone ,I Fall Apart,10605635,NZL
10,Luis Fonsi ,Despacito ,10370924,NZL
1,Danny Ocean ,Me Rehúso,1185577,NIC
2,Ed Sheeran ,Shape of You,1051323,NIC
3,Drake ,One Dance,945069,NIC
4,Zion & Lennox ,Otra Vez,929039,NIC
5,Luis Fonsi ,Despacito (Featuring Daddy Yankee),844218,NIC
